name,dose,tier_num,tier_desc,cost_30,cost_90,management,year
VALSARTAN,160 MG TABLET [DIOVAN],3,Preferred Brand,20%,15%,Q:60/30Days,2016-01-01T00:00:00Z
VALSARTAN,320 MG TABLET [DIOVAN],3,Preferred Brand,20%,15%,Q:60/30Days,2016-01-01T00:00:00Z
VALSARTAN,40 MG TABLET [DIOVAN],3,Preferred Brand,20%,15%,Q:60/30Days,2016-01-01T00:00:00Z
VALSARTAN,80 MG TABLET [DIOVAN],3,Preferred Brand,20%,15%,Q:60/30Days,2016-01-01T00:00:00Z
VALSARTAN-HCTZ,160-12.5 MG TABLET [DIOVAN HCT],2,Generic,$2.00 ,$0.00 ,Q:30/30Days,2016-01-01T00:00:00Z
VALSARTAN-HCTZ,160-25 MG TABLET [DIOVAN HCT],2,Generic,$2.00 ,$0.00 ,Q:30/30Days,2016-01-01T00:00:00Z
VALSARTAN-HCTZ,320-12.5 MG TABLET [DIOVAN HCT],2,Generic,$2.00 ,$0.00 ,Q:30/30Days,2016-01-01T00:00:00Z
VALSARTAN-HCTZ,320-25 MG TABLET [DIOVAN HCT],2,Generic,$2.00 ,$0.00 ,Q:30/30Days,2016-01-01T00:00:00Z
VALSARTAN-HCTZ,80-12.5 MG TABLET [DIOVAN HCT],2,Generic,$2.00 ,$0.00 ,Q:30/30Days,2016-01-01T00:00:00Z
VANCOMYCIN,HCL 125 MG CAPSULE,5,Specialty Tier,25%,N/A,None,2016-01-01T00:00:00Z
VANCOMYCIN,HCL 250 MG CAPSULE,5,Specialty Tier,25%,N/A,None,2016-01-01T00:00:00Z
VANCOMYCIN,HCL INJECTION 10 X 1GM VIAL (STERILE ),3,Preferred Brand,20%,15%,None,2016-01-01T00:00:00Z
VANCOMYCIN,"HYDROCHLORIDE 100MG/ML 1 VIAL, PHARMACY BULK PACKAGE IN 1 CASE / 95 ML IN 1 VIAL, PHARMA",3,Preferred Brand,20%,15%,None,2016-01-01T00:00:00Z
VANCOMYCIN,HYDROCHLORIDE 500MG/100ML INJECTION (STERILE),3,Preferred Brand,20%,15%,None,2016-01-01T00:00:00Z
VAQTA,25 UNITS/0.5 ML SYRINGE,4,Non-Preferred Brand,35%,30%,None,2016-01-01T00:00:00Z
VAQTA,50 UNITS/ML SYRINGE,4,Non-Preferred Brand,35%,30%,None,2016-01-01T00:00:00Z
VARIVAX,VACCINE W/DILUENT,3,Preferred Brand,20%,15%,None,2016-01-01T00:00:00Z
VARIZIG,125 UNIT/1.2 ML VIAL,5,Specialty Tier,25%,N/A,P Q:12/30Days,2016-01-01T00:00:00Z
VASCEPA,1 GM CAPSULE,4,Non-Preferred Brand,35%,30%,Q:120/30Days,2016-01-01T00:00:00Z
VECTIBIX,"100MG/5ML 1 VIAL, SINGLE-USE PER CARTON / 5 ML IN 1 VIAL, SINGLE-USE",5,Specialty Tier,25%,N/A,P,2016-01-01T00:00:00Z
VELCADE,3.5MG VIAL,5,Specialty Tier,25%,N/A,P Q:14/21Days,2016-01-01T00:00:00Z
VELIVET,TRIPHASIC REGIMEN 3 POUCH PER CARTON / 1 BLISTER PACK IN 1 POUCH / 1 KIT PER BLISTER PACK,4,Non-Preferred Brand,35%,30%,None,2016-01-01T00:00:00Z
VENCLEXTA,10 MG TABLET,4,Non-Preferred Brand,35%,30%,P Q:28/28Days,2016-01-01T00:00:00Z
VENCLEXTA,100 MG TABLET,5,Specialty Tier,25%,N/A,P Q:120/30Days,2016-01-01T00:00:00Z
VENCLEXTA,50 MG TABLET,4,Non-Preferred Brand,35%,30%,P Q:14/28Days,2016-01-01T00:00:00Z
VENCLEXTA,STARTING PACK,5,Specialty Tier,25%,N/A,P Q:42/28Days,2016-01-01T00:00:00Z
VENLAFAXINE,HCL 100MG TABLET,2,Generic,$2.00 ,$0.00 ,None,2016-01-01T00:00:00Z
VENLAFAXINE,HCL 25MG TABLET,2,Generic,$2.00 ,$0.00 ,None,2016-01-01T00:00:00Z
VENLAFAXINE,HCL 37.5MG TABLET,2,Generic,$2.00 ,$0.00 ,None,2016-01-01T00:00:00Z
VENLAFAXINE,HCL 50MG TABLET,2,Generic,$2.00 ,$0.00 ,None,2016-01-01T00:00:00Z
VENLAFAXINE,HCL 75MG TABLET,2,Generic,$2.00 ,$0.00 ,None,2016-01-01T00:00:00Z
VENLAFAXINE,HCL ER TAB 225 MG,4,Non-Preferred Brand,35%,30%,Q:30/30Days,2016-01-01T00:00:00Z
VENLAFAXINE,HYDROCHLORIDE 150MG CAPSULES EXTENDED RELEASE,2,Generic,$2.00 ,$0.00 ,Q:60/30Days,2016-01-01T00:00:00Z
VENLAFAXINE,HYDROCHLORIDE 150MG TABLETS EXTENDED RELEASE,4,Non-Preferred Brand,35%,30%,Q:30/30Days,2016-01-01T00:00:00Z
VENLAFAXINE,HYDROCHLORIDE 37.5MG CAPSULES EXTENDED RELEASE,2,Generic,$2.00 ,$0.00 ,Q:30/30Days,2016-01-01T00:00:00Z
VENLAFAXINE,HYDROCHLORIDE 37.5MG TABLETS EXTENDED RELEASE,4,Non-Preferred Brand,35%,30%,Q:30/30Days,2016-01-01T00:00:00Z
VENLAFAXINE,HYDROCHLORIDE 75MG CAPSULES EXTENDED RELEASE,2,Generic,$2.00 ,$0.00 ,Q:90/30Days,2016-01-01T00:00:00Z
VENLAFAXINE,HYDROCHLORIDE 75MG TABLETS EXTENDED RELEASE,4,Non-Preferred Brand,35%,30%,Q:60/30Days,2016-01-01T00:00:00Z
VENTOLIN,HFA 90MCG INHALER,3,Preferred Brand,20%,15%,Q:36/30Days,2016-01-01T00:00:00Z
VERAPAMIL,120MG CAP PELLET,2,Generic,$2.00 ,$0.00 ,Q:60/30Days,2016-01-01T00:00:00Z
VERAPAMIL,180MG CAP PELLET,2,Generic,$2.00 ,$0.00 ,Q:60/30Days,2016-01-01T00:00:00Z
VERAPAMIL,2.5MG/ML AMPUL,2,Generic,$2.00 ,$0.00 ,None,2016-01-01T00:00:00Z
VERAPAMIL,240MG CAP PELLET,2,Generic,$2.00 ,$0.00 ,Q:60/30Days,2016-01-01T00:00:00Z
VERAPAMIL,40MG TABLET,2,Generic,$2.00 ,$0.00 ,None,2016-01-01T00:00:00Z
VERAPAMIL,ER 100MG CAPSULE 24HR SR PELLETS,2,Generic,$2.00 ,$0.00 ,Q:30/30Days,2016-01-01T00:00:00Z
VERAPAMIL,ER 120 MG TABLET,2,Generic,$2.00 ,$0.00 ,None,2016-01-01T00:00:00Z
VERAPAMIL,ER 120 MG TABLET,2,Generic,$2.00 ,$0.00 ,None,2016-01-01T00:00:00Z
VERAPAMIL,ER 180 MG TABLET,2,Generic,$2.00 ,$0.00 ,None,2016-01-01T00:00:00Z
VERAPAMIL,ER 200MG CAPSULE 24HR SR PELLETS (100 CT),2,Generic,$2.00 ,$0.00 ,Q:60/30Days,2016-01-01T00:00:00Z
VERAPAMIL,ER 300MG CAPSULE 24HR SR PELLETS,2,Generic,$2.00 ,$0.00 ,Q:30/30Days,2016-01-01T00:00:00Z
VERAPAMIL,HCL 120MG TABLET,1,Preferred Generic,$1.00 ,$0.00 ,None,2016-01-01T00:00:00Z
VERAPAMIL,HCL 360MG CAPSULES SUSTAINED RELEASE,2,Generic,$2.00 ,$0.00 ,Q:60/30Days,2016-01-01T00:00:00Z
VERAPAMIL,HCL 80MG TABLET,1,Preferred Generic,$1.00 ,$0.00 ,None,2016-01-01T00:00:00Z
VERAPAMIL,"HYDROCHLORIDE 240MG/1 500 TABLET, FILM COATED, EXTENDED RELEASE IN 1 BOTTLE, PLASTIC",2,Generic,$2.00 ,$0.00 ,None,2016-01-01T00:00:00Z
VEREGEN,15% OINTMENT,5,Specialty Tier,25%,N/A,None,2016-01-01T00:00:00Z
VERIPRED,20 20 MG/5 ML SOLN,4,Non-Preferred Brand,35%,30%,None,2016-01-01T00:00:00Z
VERSACLOZ,50 MG/ML SUSPENSION,4,Non-Preferred Brand,35%,30%,S Q:540/30Days,2016-01-01T00:00:00Z
VESTURA,3 MG-0.02 MG TABLET,2,Generic,$2.00 ,$0.00 ,None,2016-01-01T00:00:00Z
VIBERZI,100 MG TABLET,4,Non-Preferred Brand,35%,30%,P Q:60/30Days,2016-01-01T00:00:00Z
VIBERZI,75 MG TABLET,4,Non-Preferred Brand,35%,30%,P Q:60/30Days,2016-01-01T00:00:00Z
VICTOZA,3-PAK 18 MG/3 ML PEN,3,Preferred Brand,20%,15%,Q:9/30Days,2016-01-01T00:00:00Z
VIDEX,2GM PEDIATRIC TUBEX,4,Non-Preferred Brand,35%,30%,Q:1200/30Days,2016-01-01T00:00:00Z
VIENVA-28,TABLET,4,Non-Preferred Brand,35%,30%,None,2016-01-01T00:00:00Z
VIGABATRIN,50 MG/ML ORAL SOLUTION [SABRIL],5,Specialty Tier,25%,N/A,P,2016-01-01T00:00:00Z
VIGABATRIN,500 MG ORAL TABLET [SABRIL],5,Specialty Tier,25%,N/A,P Q:180/30Days,2016-01-01T00:00:00Z
VIGAMOX,0.5% EYE DROPS,4,Non-Preferred Brand,35%,30%,None,2016-01-01T00:00:00Z
VIIBRYD,10-20 MG STARTER PACK,4,Non-Preferred Brand,35%,30%,P Q:30/30Days,2016-01-01T00:00:00Z
VIIBRYD,10MG/1 30 FILM COATED TABLETS IN BOTTLE,4,Non-Preferred Brand,35%,30%,P Q:30/30Days,2016-01-01T00:00:00Z
VIIBRYD,20MG/1 30 FILM COATED TABLETS IN BOTTLE,4,Non-Preferred Brand,35%,30%,P Q:30/30Days,2016-01-01T00:00:00Z
VIIBRYD,40MG/1 30 FILM COATED TABLETS IN BOTTLE,4,Non-Preferred Brand,35%,30%,P Q:30/30Days,2016-01-01T00:00:00Z
VIMPAT,10 MG/ML SOLUTION,4,Non-Preferred Brand,35%,30%,P Q:1395/30Days,2016-01-01T00:00:00Z
VIMPAT,"100MG/1 60 FILM COATED TABLETS IN BOTTLE, PLASTIC",4,Non-Preferred Brand,35%,30%,P,2016-01-01T00:00:00Z
VIMPAT,"10MG/ML 10 VIAL, GLASS PER CARTON / 20 ML IN 1 VIAL, GLASS",4,Non-Preferred Brand,35%,30%,P,2016-01-01T00:00:00Z
VIMPAT,"150MG/1 60 FILM COATED TABLETS IN BOTTLE, PLASTIC",4,Non-Preferred Brand,35%,30%,P,2016-01-01T00:00:00Z
VIMPAT,"200MG/1 60 FILM COATED TABLETS IN BOTTLE, PLASTIC",4,Non-Preferred Brand,35%,30%,P,2016-01-01T00:00:00Z
VIMPAT,"50MG/1 60 FILM COATED TABLETS IN BOTTLE, PLASTIC",4,Non-Preferred Brand,35%,30%,P,2016-01-01T00:00:00Z
VINBLASTINE,1 MG/ML VIAL,3,Preferred Brand,20%,15%,None,2016-01-01T00:00:00Z
VINCRISTINE,1MG/ML VIAL,2,Generic,$2.00 ,$0.00 ,None,2016-01-01T00:00:00Z
VINCRISTINE,1MG/ML VIAL,3,Preferred Brand,20%,15%,None,2016-01-01T00:00:00Z
VINORELBINE,10MG/ML VIAL 5ML VIAL,4,Non-Preferred Brand,35%,30%,None,2016-01-01T00:00:00Z
VIRACEPT,250MG TABLET,5,Specialty Tier,25%,N/A,Q:300/30Days,2016-01-01T00:00:00Z
VIRACEPT,625MG TABLET,5,Specialty Tier,25%,N/A,Q:120/30Days,2016-01-01T00:00:00Z
VIRAMUNE,"400MG/1 30 TABLET, EXTENDED RELEASE IN 1 BOTTLE",4,Non-Preferred Brand,35%,30%,Q:30/30Days,2016-01-01T00:00:00Z
VIRAMUNE,XR 100 MG TABLET,4,Non-Preferred Brand,35%,30%,Q:120/30Days,2016-01-01T00:00:00Z
VIRAZOLE,6 GM VIAL,5,Specialty Tier,25%,N/A,P,2016-01-01T00:00:00Z
VIREAD,150 MG TABLET,5,Specialty Tier,25%,N/A,Q:30/30Days,2016-01-01T00:00:00Z
VIREAD,200 MG TABLET,5,Specialty Tier,25%,N/A,Q:30/30Days,2016-01-01T00:00:00Z
VIREAD,250 MG TABLET,5,Specialty Tier,25%,N/A,Q:30/30Days,2016-01-01T00:00:00Z
VIREAD,300MG TABLET,5,Specialty Tier,25%,N/A,Q:30/30Days,2016-01-01T00:00:00Z
VIREAD,POWDER,5,Specialty Tier,25%,N/A,Q:240/30Days,2016-01-01T00:00:00Z
VITEKTA,150 MG TABLET,5,Specialty Tier,25%,N/A,Q:30/30Days,2016-01-01T00:00:00Z
VITEKTA,85 MG TABLET,5,Specialty Tier,25%,N/A,Q:30/30Days,2016-01-01T00:00:00Z
VOLTAREN,1% GEL,4,Non-Preferred Brand,35%,30%,None,2016-01-01T00:00:00Z
VORICONAZOLE,200 MG VIAL,4,Non-Preferred Brand,35%,30%,None,2016-01-01T00:00:00Z
VORICONAZOLE,"200MG/1 30 FILM COATED TABLETS IN BOTTLE, PLASTIC",5,Specialty Tier,25%,N/A,P Q:120/30Days,2016-01-01T00:00:00Z
VORICONAZOLE,40 MG/ML SUSP,5,Specialty Tier,25%,N/A,P Q:400/30Days,2016-01-01T00:00:00Z
VORICONAZOLE,"50MG/1 30 FILM COATED TABLETS IN BOTTLE, PLASTIC",5,Specialty Tier,25%,N/A,P Q:120/30Days,2016-01-01T00:00:00Z
VOTRIENT,200MG/1 120 FILM COATED TABLETS IN BOTTLE,5,Specialty Tier,25%,N/A,P Q:120/30Days,2016-01-01T00:00:00Z
VPRIV,INJECTION SOLUTION 2.5 MG/ML,5,Specialty Tier,25%,N/A,P,2016-01-01T00:00:00Z
VRAYLAR,1.5 MG CAP,5,Specialty Tier,25%,N/A,P Q:30/30Days,2016-01-01T00:00:00Z
VRAYLAR,1.5 MG-3 MG PACK,4,Non-Preferred Brand,35%,30%,P,2016-01-01T00:00:00Z
VRAYLAR,3 MG CAP,5,Specialty Tier,25%,N/A,P Q:30/30Days,2016-01-01T00:00:00Z
VRAYLAR,4.5 MG CAP,5,Specialty Tier,25%,N/A,P Q:30/30Days,2016-01-01T00:00:00Z
VRAYLAR,6 MG CAP,5,Specialty Tier,25%,N/A,P Q:30/30Days,2016-01-01T00:00:00Z
WARFARIN,SODIUM 1 MG TABLET (1000 CT),1,Preferred Generic,$1.00 ,$0.00 ,None,2016-01-01T00:00:00Z
WARFARIN,SODIUM 10 MG TABLET,1,Preferred Generic,$1.00 ,$0.00 ,None,2016-01-01T00:00:00Z
WARFARIN,SODIUM 2 MG TABLET,1,Preferred Generic,$1.00 ,$0.00 ,None,2016-01-01T00:00:00Z
WARFARIN,SODIUM 2.5MG TABLET (100 CT),1,Preferred Generic,$1.00 ,$0.00 ,None,2016-01-01T00:00:00Z
WARFARIN,SODIUM 3 MG TABLET,1,Preferred Generic,$1.00 ,$0.00 ,None,2016-01-01T00:00:00Z
WARFARIN,SODIUM 4 MG TABLET,1,Preferred Generic,$1.00 ,$0.00 ,None,2016-01-01T00:00:00Z
WARFARIN,SODIUM 5 MG TABLET,1,Preferred Generic,$1.00 ,$0.00 ,None,2016-01-01T00:00:00Z
WARFARIN,SODIUM 6MG TABLET,1,Preferred Generic,$1.00 ,$0.00 ,None,2016-01-01T00:00:00Z
WARFARIN,SODIUM 7.5MG TABLET,1,Preferred Generic,$1.00 ,$0.00 ,None,2016-01-01T00:00:00Z
WELCHOL,625MG TABLET,3,Preferred Brand,20%,15%,None,2016-01-01T00:00:00Z
WELCHOL,FOR ORAL SUSPENSION CITRUS FLAVOR 3.75 GM,3,Preferred Brand,20%,15%,None,2016-01-01T00:00:00Z
WYMZYA,FE CHEWABLE TABLET,4,Non-Preferred Brand,35%,30%,None,2016-01-01T00:00:00Z
XALKORI,200MG/1 60 CAPSULE BOTTLE,5,Specialty Tier,25%,N/A,P Q:60/30Days,2016-01-01T00:00:00Z
XALKORI,250MG/1 60 CAPSULE BOTTLE,5,Specialty Tier,25%,N/A,P Q:60/30Days,2016-01-01T00:00:00Z
XARELTO,10 MG 10 BLISTER PACK PER CARTON / 10 TABLET PER BLISTER PACK,3,Preferred Brand,20%,15%,Q:35/60Days,2016-01-01T00:00:00Z
XARELTO,15 MG TABLET,3,Preferred Brand,20%,15%,Q:60/30Days,2016-01-01T00:00:00Z
XARELTO,20 MG TABLET,3,Preferred Brand,20%,15%,Q:30/30Days,2016-01-01T00:00:00Z
XARELTO,STARTER PACK,3,Preferred Brand,20%,15%,Q:51/30Days,2016-01-01T00:00:00Z
XENAZINE,TABLET 25 MG,5,Specialty Tier,25%,N/A,P Q:120/30Days,2016-01-01T00:00:00Z
XENAZINE,TABLETS 12.5MG 112 BOT,5,Specialty Tier,25%,N/A,P Q:240/30Days,2016-01-01T00:00:00Z
XGEVA,"120MG/1.7ML 1 VIAL, SINGLE-USE PER CARTON / 1.7 ML IN 1 VIAL, SINGLE-USE",5,Specialty Tier,25%,N/A,P Q:2/28Days,2016-01-01T00:00:00Z
XIFAXAN,200MG TABLET,4,Non-Preferred Brand,35%,30%,P Q:9/30Days,2016-01-01T00:00:00Z
XIFAXAN,550MG TABLETS,5,Specialty Tier,25%,N/A,P Q:84/28Days,2016-01-01T00:00:00Z
XOLAIR,150MG VIAL,5,Specialty Tier,25%,N/A,P Q:7/28Days,2016-01-01T00:00:00Z
XTANDI,40 MG CAPSULE,5,Specialty Tier,25%,N/A,P Q:120/30Days,2016-01-01T00:00:00Z
XYREM,500MG/ML ORAL SOLUTION,5,Specialty Tier,25%,N/A,P Q:540/30Days,2016-01-01T00:00:00Z
YERVOY,"5MG/ML 1 VIAL, SINGLE-USE PER CARTON / 50 ML IN 1 VIAL, SINGLE-USE",5,Specialty Tier,25%,N/A,P Q:70/21Days,2016-01-01T00:00:00Z
YF-VAX,1 DOSE VIAL/DILUENT 0.5UNTS/DOSE,4,Non-Preferred Brand,35%,30%,None,2016-01-01T00:00:00Z
ZAFIRLUKAST,10MG TABLETS,4,Non-Preferred Brand,35%,30%,Q:60/30Days,2016-01-01T00:00:00Z
ZAFIRLUKAST,20MG TABLETS,4,Non-Preferred Brand,35%,30%,Q:60/30Days,2016-01-01T00:00:00Z
ZALEPLON,10MG CAPSULE,2,Generic,$2.00 ,$0.00 ,Q:90/365Days,2016-01-01T00:00:00Z
ZALEPLON,5MG CAPSULE,2,Generic,$2.00 ,$0.00 ,Q:90/365Days,2016-01-01T00:00:00Z
ZALTRAP,100 MG/4 ML VIAL,5,Specialty Tier,25%,N/A,P Q:40/28Days,2016-01-01T00:00:00Z
ZANOSAR,1 GM VIAL,4,Non-Preferred Brand,35%,30%,None,2016-01-01T00:00:00Z
ZARXIO,300 MCG/0.5 ML SYRINGE,5,Specialty Tier,25%,N/A,P Q:7/30Days,2016-01-01T00:00:00Z
ZARXIO,480 MCG/0.8 ML SYRINGE,5,Specialty Tier,25%,N/A,P Q:11/30Days,2016-01-01T00:00:00Z
ZAVESCA,100 MG CAPSULE,5,Specialty Tier,25%,N/A,Q:90/30Days,2016-01-01T00:00:00Z
ZAZOLE,0.8% CREAM WITH APPLICATOR,3,Preferred Brand,20%,15%,None,2016-01-01T00:00:00Z
ZELBORAF,"240MG/1 1 BOTTLE, PLASTIC PER CARTON / 120 FILM COATED TABLETS IN BOTTLE, PLASTIC",5,Specialty Tier,25%,N/A,P Q:240/30Days,2016-01-01T00:00:00Z
ZEMPLAR,"2UG/ML 25 VIAL, SINGLE-DOSE IN 1 TRAY / 1 ML IN 1 VIAL, SINGLE-DOSE",3,Preferred Brand,20%,15%,None,2016-01-01T00:00:00Z
ZEMPLAR,"5UG/ML 25 VIAL, MULTI-DOSE IN 1 TRAY / 2 ML IN 1 VIAL, MULTI-DOSE",3,Preferred Brand,20%,15%,None,2016-01-01T00:00:00Z
ZENCHENT,FE TABLET CHEWABLE,4,Non-Preferred Brand,35%,30%,None,2016-01-01T00:00:00Z
ZENPEP,"DR 10,000 UNITS CAPSULE",4,Non-Preferred Brand,35%,30%,None,2016-01-01T00:00:00Z
ZENPEP,"DR 15,000 UNITS CAPSULE",4,Non-Preferred Brand,35%,30%,None,2016-01-01T00:00:00Z
ZENPEP,"DR 20,000 UNITS CAPSULE",4,Non-Preferred Brand,35%,30%,None,2016-01-01T00:00:00Z
ZENPEP,"DR 25,000 UNITS CAPSULE",4,Non-Preferred Brand,35%,30%,None,2016-01-01T00:00:00Z
ZENPEP,"DR 3,000 UNITS CAPSULE",4,Non-Preferred Brand,35%,30%,None,2016-01-01T00:00:00Z
ZENPEP,"DR 40,000 UNITS CAPSULE",4,Non-Preferred Brand,35%,30%,None,2016-01-01T00:00:00Z
ZENPEP,"DR 5,000 UNITS CAPSULE",4,Non-Preferred Brand,35%,30%,None,2016-01-01T00:00:00Z
ZENZEDI,10 MG TABLET,4,Non-Preferred Brand,35%,30%,Q:180/30Days,2016-01-01T00:00:00Z
ZENZEDI,15 MG TABLET,4,Non-Preferred Brand,35%,30%,Q:120/30Days,2016-01-01T00:00:00Z
ZENZEDI,2.5 MG TABLET,4,Non-Preferred Brand,35%,30%,Q:90/30Days,2016-01-01T00:00:00Z
ZENZEDI,20 MG TABLET,4,Non-Preferred Brand,35%,30%,Q:90/30Days,2016-01-01T00:00:00Z
ZENZEDI,30 MG TABLET,4,Non-Preferred Brand,35%,30%,Q:60/30Days,2016-01-01T00:00:00Z
ZENZEDI,5 MG TABLET,4,Non-Preferred Brand,35%,30%,Q:150/30Days,2016-01-01T00:00:00Z
ZENZEDI,7.5 MG TABLET,4,Non-Preferred Brand,35%,30%,Q:90/30Days,2016-01-01T00:00:00Z
ZERBAXA,1-0.5 GRAM VIAL,5,Specialty Tier,25%,N/A,None,2016-01-01T00:00:00Z
ZETIA,10MG TABLET (90 CT),3,Preferred Brand,20%,15%,Q:30/30Days,2016-01-01T00:00:00Z
ZIAGEN,20MG/ML 240 ML IN 1 BOTTLE,4,Non-Preferred Brand,35%,30%,Q:960/30Days,2016-01-01T00:00:00Z
ZIDOVUDINE,100MG CAPSULE,3,Preferred Brand,20%,15%,Q:180/30Days,2016-01-01T00:00:00Z
ZIDOVUDINE,10MG/ML SYRUP,4,Non-Preferred Brand,35%,30%,Q:1680/28Days,2016-01-01T00:00:00Z
ZIDOVUDINE,300MG/1 12 BOTTLE CASE / 60 TABLET BOTTLE,3,Preferred Brand,20%,15%,Q:60/30Days,2016-01-01T00:00:00Z
ZIPRASIDONE,HCL 20 MG CAPSULE [GEODON],4,Non-Preferred Brand,35%,30%,Q:60/30Days,2016-01-01T00:00:00Z
ZIPRASIDONE,HCL 40 MG CAPSULE [GEODON],4,Non-Preferred Brand,35%,30%,Q:60/30Days,2016-01-01T00:00:00Z
ZIPRASIDONE,HCL 60 MG CAPSULE [GEODON],4,Non-Preferred Brand,35%,30%,Q:60/30Days,2016-01-01T00:00:00Z
ZIPRASIDONE,HCL 80 MG CAPSULE [GEODON],4,Non-Preferred Brand,35%,30%,Q:60/30Days,2016-01-01T00:00:00Z
ZIRGAN,"1.5MG/G 1 TUBE, WITH APPLICATOR PER CARTON / 5 G IN 1 TUBE, WITH APPLICATOR",4,Non-Preferred Brand,35%,30%,Q:5/30Days,2016-01-01T00:00:00Z
ZOLEDRONIC,ACID 4 MG/5 ML VIAL,4,Non-Preferred Brand,35%,30%,P Q:15/21Days,2016-01-01T00:00:00Z
ZOLEDRONIC,ACID 5 MG/100 ML,4,Non-Preferred Brand,35%,30%,P Q:100/365Days,2016-01-01T00:00:00Z
ZOLINZA,100MG CAPSULE,5,Specialty Tier,25%,N/A,P Q:120/30Days,2016-01-01T00:00:00Z
ZOLPIDEM,"TARTRATE 10 MG TABLET [AMBIEN, EDLUAR, ZOLPIMIST]",2,Generic,$2.00 ,$0.00 ,Q:90/365Days,2016-01-01T00:00:00Z
ZOLPIDEM,"TARTRATE 5MG/1 100 FILM COATED TABLETS IN BOTTLE [AMBIEN, EDLUAR, ZOLPIMIST]",2,Generic,$2.00 ,$0.00 ,Q:90/365Days,2016-01-01T00:00:00Z
ZOLPIDEM,"TARTRATE ER 12.5 MG TAB [AMBIEN, EDLUAR, ZOLPIMIST]",4,Non-Preferred Brand,35%,30%,Q:90/365Days,2016-01-01T00:00:00Z
ZOLPIDEM,"TARTRATE ER 6.25MG TABLETS [AMBIEN, EDLUAR, ZOLPIMIST]",4,Non-Preferred Brand,35%,30%,Q:90/365Days,2016-01-01T00:00:00Z
ZONISAMIDE,100MG CAPSULE (100 CT),2,Generic,$2.00 ,$0.00 ,None,2016-01-01T00:00:00Z
ZONISAMIDE,25MG 100 CAPSULE BOTTLE,2,Generic,$2.00 ,$0.00 ,None,2016-01-01T00:00:00Z
ZONISAMIDE,50MG CAPSULE (100 CT),2,Generic,$2.00 ,$0.00 ,None,2016-01-01T00:00:00Z
ZONTIVITY,2.08 MG TABLET,4,Non-Preferred Brand,35%,30%,P Q:30/30Days,2016-01-01T00:00:00Z
ZORTRESS,0.25MG TABLETS,4,Non-Preferred Brand,35%,30%,P Q:60/30Days,2016-01-01T00:00:00Z
ZORTRESS,0.5MG/1 60 BLISTER PACK IN 1 BOX / 1 TABLET PER BLISTER PACK,4,Non-Preferred Brand,35%,30%,P Q:120/30Days,2016-01-01T00:00:00Z
ZORTRESS,0.75MG/1 60 BLISTER PACK IN 1 BOX / 1 TABLET PER BLISTER PACK,4,Non-Preferred Brand,35%,30%,P Q:60/30Days,2016-01-01T00:00:00Z
ZOSTAVAX,VIAL,4,Non-Preferred Brand,35%,30%,Q:1/365Days,2016-01-01T00:00:00Z
ZOVIA,1/35-28 TABLET,4,Non-Preferred Brand,35%,30%,None,2016-01-01T00:00:00Z
ZOVIA,1/50-28 TABLET,4,Non-Preferred Brand,35%,30%,None,2016-01-01T00:00:00Z
ZOVIRAX,5% CREAM,5,Specialty Tier,25%,N/A,P,2016-01-01T00:00:00Z
ZYDELIG,100 MG TABLET,5,Specialty Tier,25%,N/A,P Q:60/30Days,2016-01-01T00:00:00Z
ZYDELIG,150 MG TABLET,5,Specialty Tier,25%,N/A,P Q:60/30Days,2016-01-01T00:00:00Z
ZYKADIA,150 MG CAPSULE,5,Specialty Tier,25%,N/A,P Q:150/30Days,2016-01-01T00:00:00Z
ZYPREXA,RELPREVV 1 KIT IN 1 CARTON,4,Non-Preferred Brand,35%,30%,P Q:4/28Days,2016-01-01T00:00:00Z
ZYTIGA,250MG/1 120 TABLET BOTTLE,5,Specialty Tier,25%,N/A,P Q:120/30Days,2016-01-01T00:00:00Z
ZYVOX,100MG/5ML SUSPENSION,5,Specialty Tier,25%,N/A,None,2016-01-01T00:00:00Z
ZYVOX,"600MG 30 FILM COATED TABLETS IN BOTTLE, UNIT-DOSE",5,Specialty Tier,25%,N/A,None,2016-01-01T00:00:00Z
A-HYDROCORT,100MG VIAL,2,Non-Preferred Generic,$2.00 ,$0.00 ,None,2015-01-01T00:00:00Z
ABACAVIR,300 MG TABLET,4,Non-Preferred Brand,35%,35%,Q:60/30Days,2015-01-01T00:00:00Z
ABACAVIR,SULFATE-LAMIVUDINE-ZIDOVUDINE TABLETS [TRIZIVIR],5,Specialty Tier,25%,N/A,Q:60/30Days,2015-01-01T00:00:00Z
ABELCENT,INJECTION SUSPENSION 5MG/ML,5,Specialty Tier,25%,N/A,None,2015-01-01T00:00:00Z
ABILIFY,10MG TABLET,4,Non-Preferred Brand,35%,35%,Q:30/30Days,2015-01-01T00:00:00Z
ABILIFY,15MG TABLET,4,Non-Preferred Brand,35%,35%,Q:30/30Days,2015-01-01T00:00:00Z
ABILIFY,20MG TABLET,4,Non-Preferred Brand,35%,35%,Q:30/30Days,2015-01-01T00:00:00Z
ABILIFY,2MG TABLET,4,Non-Preferred Brand,35%,35%,Q:30/30Days,2015-01-01T00:00:00Z
ABILIFY,30MG TABLET,4,Non-Preferred Brand,35%,35%,Q:30/30Days,2015-01-01T00:00:00Z
ABILIFY,5MG TABLET (OTSUKA),4,Non-Preferred Brand,35%,35%,Q:30/30Days,2015-01-01T00:00:00Z
