name,tier_num,tier_desc,cost_share_30_day,cost_share_90_day,management,year
PHENOBARBITAL 97.2 MG TABLET,4,Non-Preferred Drug,48%,48%,P,2017
PHENYTEK 200 MG CAPSULE,4,Non-Preferred Drug,48%,48%,None,2017
PHENYTEK 300 MG CAPSULE,4,Non-Preferred Drug,48%,48%,None,2017
phenytoin 50 mg tablet chew,3,Preferred Brand,$47.00 ,$117.50 ,None,2017
PHENYTOIN ORAL SUSPENSION 125MG 8 OZ BOT,3,Preferred Brand,$47.00 ,$117.50 ,None,2017
PHENYTOIN SODIUM 100MG /2ML INJECTION,4,Non-Preferred Drug,48%,48%,None,2017
PHENYTOIN SODIUM EXT 200 MG CAP,3,Preferred Brand,$47.00 ,$117.50 ,None,2017
PHENYTOIN SODIUM EXT 300 MG CAP,3,Preferred Brand,$47.00 ,$117.50 ,None,2017
PHENYTOIN SODIUM EXTENDED CAPSULES 100MG (100 CT),3,Preferred Brand,$47.00 ,$117.50 ,None,2017
PHOSPHOLINE IODIDE 0.125% 6.25MG,4,Non-Preferred Drug,48%,48%,None,2017
PICATO 0.015% GEL,3,Preferred Brand,$47.00 ,$117.50 ,None,2017
PICATO 0.05% GEL,3,Preferred Brand,$47.00 ,$117.50 ,None,2017
PILOCARPINE 1% EYE DROPS,4,Non-Preferred Drug,48%,48%,None,2017
PILOCARPINE 2% EYE DROPS,4,Non-Preferred Drug,48%,48%,None,2017
PILOCARPINE 4% EYE DROPS,4,Non-Preferred Drug,48%,48%,None,2017
PILOCARPINE HCL 5 MG TABLET,4,Non-Preferred Drug,48%,48%,None,2017
PILOCARPINE HCL 7.5 MG 100 FILM COATED TABLETS in BOTTLE,4,Non-Preferred Drug,48%,48%,None,2017
PIMOZIDE 1 MG TABLET [Orap],4,Non-Preferred Drug,48%,48%,None,2017
PIMOZIDE 2 MG TABLET [Orap],4,Non-Preferred Drug,48%,48%,None,2017
PIMTREA 28 DAY TABLET,3,Preferred Brand,$47.00 ,$117.50 ,None,2017
PINDOLOL 10MG TABLET,4,Non-Preferred Drug,48%,48%,None,2017
PINDOLOL 5MG TABLET,4,Non-Preferred Drug,48%,48%,None,2017
pioglitazone hcl 15 mg tablet [Actos],2,Generic,$17.00 ,$42.50 ,Q:30/30Days,2017
pioglitazone hcl 30 mg tablet [Actos],2,Generic,$17.00 ,$42.50 ,Q:30/30Days,2017
pioglitazone hcl 45 mg tablet [Actos],2,Generic,$17.00 ,$42.50 ,Q:30/30Days,2017
PIPERACILLIN 200 MG/ML / TAZOBACTAM 25 MG/ML INJECTABLE SOLUTION,4,Non-Preferred Drug,48%,48%,None,2017
"Piperacillin and Tazobactam 4; 0.5g/1; g/1 10 VIAL, SINGLE-USE per CARTON / 1 INJECTION, POWDER, L",4,Non-Preferred Drug,48%,48%,None,2017
PIPERACILLIN-TAZOBACTAM 3.375 GM VIAL,4,Non-Preferred Drug,48%,48%,None,2017
Pirmella 1-35-28 tablet,3,Preferred Brand,$47.00 ,$117.50 ,None,2017
PLASMA-LYTE 148 IV SOLUTION,4,Non-Preferred Drug,48%,48%,None,2017
PLASMA-LYTE A PH 7.4 SOLUTION 37;368; MG/100ML;,4,Non-Preferred Drug,48%,48%,None,2017
PODOFILOX 0.5% TOPICAL TUBEX,3,Preferred Brand,$47.00 ,$117.50 ,None,2017
POLYETH GLYC NF POWDER FOR ORAL SOLUTION 17GM (527 CT),2,Generic,$17.00 ,$42.50 ,None,2017
POLYMYXIN B SUL-TRIMETHOPRIM 10K U-0.1%,2,Generic,$17.00 ,$42.50 ,None,2017
POMALYST 1 MG CAPSULE,5,Specialty Tier,33%,N/A,P,2017
POMALYST 2 MG CAPSULE,5,Specialty Tier,33%,N/A,P,2017
POMALYST 3 MG CAPSULE,5,Specialty Tier,33%,N/A,P,2017
POMALYST 4 MG CAPSULE,5,Specialty Tier,33%,N/A,P,2017
PORTIA 0.15-0.03 TABLET,3,Preferred Brand,$47.00 ,$117.50 ,None,2017
POTASSIUM CHLORIDE 0.15%/D5W/SODIUM CHLORIDE 0.9% 1000ML,4,Non-Preferred Drug,48%,48%,None,2017
POTASSIUM CHLORIDE 0.3%/D5W/SODIUM CHLORIDE 0.45% 1000ML BAG,4,Non-Preferred Drug,48%,48%,None,2017
POTASSIUM CHLORIDE 20MEQ IN D5W/NACL 0.225%,4,Non-Preferred Drug,48%,48%,None,2017
POTASSIUM CHLORIDE 40MEQ/NS 1000ML IV SOLUTION,4,Non-Preferred Drug,48%,48%,None,2017
POTASSIUM CHLORIDE 750MG EXTENDED RELEASE TABLETS,2,Generic,$17.00 ,$42.50 ,None,2017
POTASSIUM CHLORIDE ER CAPSULES 10MEQ,3,Preferred Brand,$47.00 ,$117.50 ,None,2017
POTASSIUM CHLORIDE ER CPCR 8MEQ,3,Preferred Brand,$47.00 ,$117.50 ,None,2017
POTASSIUM CHLORIDE IN 5% DEXTROSE AND NACL SOLUTION FOR INJECTION 0.075% 1000ML PLASTIC BAGS X 12 CA,4,Non-Preferred Drug,48%,48%,None,2017
POTASSIUM CHLORIDE IN 5% DEXTROSE AND SODIUM CHLORIDE INJECTION,4,Non-Preferred Drug,48%,48%,None,2017
Potassium Chloride in Dextrose 5; 150g/100mL; mg/100mL 1000 mL in 1 BAG,4,Non-Preferred Drug,48%,48%,None,2017
Potassium Chloride in Dextrose and Sodium Chloride 5; 0.15; 0.33g/100mL; g/100mL; g/100mL 12 CONTAI,4,Non-Preferred Drug,48%,48%,None,2017
Potassium Chloride in Dextrose and Sodium Chloride 5; 0.15; 0.45g/100mL; g/100mL; g/100mL 12 CONTAI,4,Non-Preferred Drug,48%,48%,None,2017
Potassium Chloride in Dextrose and Sodium Chloride 5; 300; 900g/100mL; mg/100mL; mg/100mL 1000 mL i,4,Non-Preferred Drug,48%,48%,None,2017
POTASSIUM CHLORIDE IN SODIUM CHLORIDE INJECTION,4,Non-Preferred Drug,48%,48%,None,2017
POTASSIUM CHLORIDE INJECTION 10MEQ/100ML,4,Non-Preferred Drug,48%,48%,None,2017
POTASSIUM CHLORIDE INJECTION 20 MEQ/100ML,4,Non-Preferred Drug,48%,48%,None,2017
POTASSIUM CHLORIDE INJECTION 40 MEQ/100ML,4,Non-Preferred Drug,48%,48%,None,2017
POTASSIUM CITRATE ER 10 MEQ TB,4,Non-Preferred Drug,48%,48%,None,2017
POTASSIUM CITRATE ER 15 MEQ TABLET,4,Non-Preferred Drug,48%,48%,None,2017
POTASSIUM CITRATE ER 5 MEQ TAB,4,Non-Preferred Drug,48%,48%,None,2017
POTASSIUM CITRATE ER 8 MEQ TABLET,2,Generic,$17.00 ,$42.50 ,None,2017
Potassium cl 10% (20 meq/15 ml),4,Non-Preferred Drug,48%,48%,None,2017
Potassium cl 2 meq/ml vial,4,Non-Preferred Drug,48%,48%,None,2017
Potassium cl 20% (40 meq/15 ml),4,Non-Preferred Drug,48%,48%,None,2017
POTASSIUM CL ER 10 MEQ TABLET,2,Generic,$17.00 ,$42.50 ,None,2017
POTASSIUM CL ER 20 MEQ TABLET,2,Generic,$17.00 ,$42.50 ,None,2017
Potassium cl er 20 meq tablet,2,Generic,$17.00 ,$42.50 ,None,2017
PRADAXA 110 MG CAPSULE,3,Preferred Brand,$47.00 ,$117.50 ,None,2017
PRADAXA 150 MG 1 BOTTLE per CARTON / 60 CAPSULE BOTTLE,3,Preferred Brand,$47.00 ,$117.50 ,None,2017
PRADAXA 75 MG 1 BOTTLE per CARTON / 60 CAPSULE BOTTLE,3,Preferred Brand,$47.00 ,$117.50 ,None,2017
PRALUENT 150 MG/ML PEN,5,Specialty Tier,33%,N/A,P,2017
PRALUENT 75 MG/ML PEN,5,Specialty Tier,33%,N/A,P,2017
PRAMIPEXOLE 0.75 MG TABLET,2,Generic,$17.00 ,$42.50 ,None,2017
"Pramipexole Dihydrochloride 0.125mg 500 TABLET BOTTLE, PLASTIC",2,Generic,$17.00 ,$42.50 ,None,2017
"Pramipexole Dihydrochloride 0.25mg 500 TABLET BOTTLE, PLASTIC",2,Generic,$17.00 ,$42.50 ,None,2017
"Pramipexole Dihydrochloride 0.5mg 500 TABLET BOTTLE, PLASTIC",2,Generic,$17.00 ,$42.50 ,None,2017
"Pramipexole Dihydrochloride 1.5mg 500 TABLET BOTTLE, PLASTIC",2,Generic,$17.00 ,$42.50 ,None,2017
"Pramipexole Dihydrochloride 1mg 500 TABLET BOTTLE, PLASTIC",2,Generic,$17.00 ,$42.50 ,None,2017
PRAVASTATIN SODIUM 20MG TABLET 500 BOT,2,Generic,$17.00 ,$42.50 ,None,2017
PRAVASTATIN SODIUM 40MG TABLET (500 CT),2,Generic,$17.00 ,$42.50 ,None,2017
Pravastatin Sodium 80mg/1 1000 TABLET BOTTLE,2,Generic,$17.00 ,$42.50 ,None,2017
PRAVASTATIN SODIUM TABLETS 10MG 90 BOT,2,Generic,$17.00 ,$42.50 ,None,2017
PRAZOSIN 5MG CAPSULE,3,Preferred Brand,$47.00 ,$117.50 ,None,2017
PRAZOSIN HCL 1MG CAPSULE,3,Preferred Brand,$47.00 ,$117.50 ,None,2017
PRAZOSIN HCL 2MG CAPSULE,3,Preferred Brand,$47.00 ,$117.50 ,None,2017
PREDNISOLONE ACETATE OPHTHALMIC SUSPENSION 1.0% STERILE 10ML BOTDR,3,Preferred Brand,$47.00 ,$117.50 ,None,2017
PREDNISOLONE SOD 1% EYE DROP,3,Preferred Brand,$47.00 ,$117.50 ,None,2017
PREDNISOLONE SOD PH 25 MG/5 ML,3,Preferred Brand,$47.00 ,$117.50 ,P,2017
PREDNISOLONE SODIUM PHOSPHATE 15MG/5ML SOLUTION ORAL,3,Preferred Brand,$47.00 ,$117.50 ,P,2017
PREDNISOLONE SODIUM PHOSPHATE 5MG /5ML ORAL SOLUTION,3,Preferred Brand,$47.00 ,$117.50 ,P,2017
Prednisone 10 mg tab dose pack,2,Generic,$17.00 ,$42.50 ,None,2017
Prednisone 10 mg tab dose pack,2,Generic,$17.00 ,$42.50 ,None,2017
PREDNISONE 10MG TABLET (100 CT),2,Generic,$17.00 ,$42.50 ,P,2017
PREDNISONE 1MG TABLET,2,Generic,$17.00 ,$42.50 ,P,2017
PREDNISONE 2.5MG TABLET,2,Generic,$17.00 ,$42.50 ,P,2017
PREDNISONE 20MG TABLET (1000 CT),2,Generic,$17.00 ,$42.50 ,P,2017
Prednisone 5 mg tab dose pack,2,Generic,$17.00 ,$42.50 ,None,2017
Prednisone 5 mg tab dose pack,2,Generic,$17.00 ,$42.50 ,None,2017
PREDNISONE 5 MG TABLET,2,Generic,$17.00 ,$42.50 ,P,2017
PREDNISONE 50MG TABLET,2,Generic,$17.00 ,$42.50 ,P,2017
PREDNISONE 5MG/5ML SOLUTION,3,Preferred Brand,$47.00 ,$117.50 ,P,2017
PREDNISONE 5MG/ML SOLUTION,3,Preferred Brand,$47.00 ,$117.50 ,P,2017
PREMASOL 10% IV SOLUTION,4,Non-Preferred Drug,48%,48%,P,2017
PREMASOL 6% IV SOLUTION,4,Non-Preferred Drug,48%,48%,P,2017
PREVALITE POW 4GM,4,Non-Preferred Drug,48%,48%,None,2017
Previfem 6 BLISTER PACK per BLISTER PACK / 1 KIT per BLISTER PACK,3,Preferred Brand,$47.00 ,$117.50 ,None,2017
PREZCOBIX 800 MG-150 MG TABLET,5,Specialty Tier,33%,N/A,None,2017
PREZISTA 100 MG/ML SUSPENSION,5,Specialty Tier,33%,N/A,None,2017
PREZISTA 150MG TABLETS,3,Preferred Brand,$47.00 ,$117.50 ,None,2017
PREZISTA 800 MG TABLET,5,Specialty Tier,33%,N/A,None,2017
PREZISTA TABLET 600MG,5,Specialty Tier,33%,N/A,None,2017
PREZISTA TABLET 75MG,3,Preferred Brand,$47.00 ,$117.50 ,None,2017
PRIFTIN 150MG TABLET,4,Non-Preferred Drug,48%,48%,None,2017
Primaquine Phosphate 26.3 MG Oral Tablet,3,Preferred Brand,$47.00 ,$117.50 ,None,2017
PRIMIDONE 250 MG TABLET,2,Generic,$17.00 ,$42.50 ,None,2017
Primidone 50mg/1 500 TABLET BOTTLE,2,Generic,$17.00 ,$42.50 ,None,2017
PRISTIQ 100MG TABLET SR 24HR,3,Preferred Brand,$47.00 ,$117.50 ,Q:30/30Days,2017
PRISTIQ ER 25 MG TABLET,3,Preferred Brand,$47.00 ,$117.50 ,Q:30/30Days,2017
"Pristiq Extended-Release 50mg/1 30 TABLET, EXTENDED RELEASE in 1 BOTTLE, PLASTIC",3,Preferred Brand,$47.00 ,$117.50 ,Q:30/30Days,2017
PRIVIGEN 10% VIAL,5,Specialty Tier,33%,N/A,P,2017
PROBENECID 500MG TABLET,3,Preferred Brand,$47.00 ,$117.50 ,None,2017
PROBENECID/COLCHICINE 0.5MG/500MG TABLET,3,Preferred Brand,$47.00 ,$117.50 ,None,2017
ProcalAmine 0.21; 0.29; 0.026; 0.014; 3; 0.42; 0.085; 0.21; 0.27; 0.22; 0.054; 0.16; 0.17; 0.041; 0,4,Non-Preferred Drug,48%,48%,P,2017
Prochlorperazine 10 mg/2 ml vl,4,Non-Preferred Drug,48%,48%,None,2017
PROCHLORPERAZINE MALEATE 10MG TABLET (100 CT),2,Generic,$17.00 ,$42.50 ,None,2017
Prochlorperazine Maleate 5mg/1 100 FILM COATED TABLETS in BOTTLE,2,Generic,$17.00 ,$42.50 ,None,2017
PROCHLORPERAZINE SUPPOSITORIES 25MG 12 BOX,4,Non-Preferred Drug,48%,48%,None,2017
PROCRIT 10000U/ML VIAL,3,Preferred Brand,$47.00 ,$117.50 ,P,2017
PROCRIT 2000U/ML VIAL 6 X 1ML VIAL,3,Preferred Brand,$47.00 ,$117.50 ,P,2017
"PROCRIT 3,000 UNITS/ML VIAL",3,Preferred Brand,$47.00 ,$117.50 ,P,2017
"PROCRIT 4,000 UNITS/ML VIAL",3,Preferred Brand,$47.00 ,$117.50 ,P,2017
PROCRIT 40000U/ML VIAL PR,5,Specialty Tier,33%,N/A,P,2017
PROCRIT SOLUTION FOR INJECTION 20000UNT/ML 24 X 1 ML TRAY,5,Specialty Tier,33%,N/A,P,2017
PROCTO-MED HC 2.5% CREAM,4,Non-Preferred Drug,48%,48%,None,2017
procto-pak 1% cream,4,Non-Preferred Drug,48%,48%,None,2017
PROCTOSOL-HC 2.5% CREAM,4,Non-Preferred Drug,48%,48%,None,2017
proctozone-hc 2.5% cream,4,Non-Preferred Drug,48%,48%,None,2017
"Proglycem 50mg/mL 1 BOTTLE, DROPPER in 1 BOX / 30 mL in 1 BOTTLE, DROPPER",4,Non-Preferred Drug,48%,48%,None,2017
PROGRAF 0.5MG CAPSULE,4,Non-Preferred Drug,48%,48%,P,2017
PROGRAF 1MG CAPSULE,4,Non-Preferred Drug,48%,48%,P,2017
"PROGRAF 5 MG 1 BOTTLE per CARTON / 100 CAPSULE, GELATIN COATED in 1 BOTTLE",5,Specialty Tier,33%,N/A,P,2017
PROLASTIN-C,5,Specialty Tier,33%,N/A,P,2017
PROLENSA 0.07% EYE DROPS,3,Preferred Brand,$47.00 ,$117.50 ,None,2017
PROLEUKIN 22 MILLION UNIT VIAL,5,Specialty Tier,33%,N/A,P,2017
PROLIA 60MG/ML INJECTION,4,Non-Preferred Drug,48%,48%,Q:1/180Days,2017
PROMACTA 12.5 MG TABLET,5,Specialty Tier,33%,N/A,P Q:360/30Days,2017
PROMACTA 25 MG TABLET,5,Specialty Tier,33%,N/A,P Q:180/30Days,2017
PROMACTA 50 MG TABLET,5,Specialty Tier,33%,N/A,P Q:90/30Days,2017
PROMACTA 75 MG TABLET,5,Specialty Tier,33%,N/A,P Q:60/30Days,2017
PROMETHAZINE 12.5 MG TABLET,4,Non-Preferred Drug,48%,48%,P,2017
PROMETHAZINE 50 MG SUPPOSITORY,4,Non-Preferred Drug,48%,48%,P,2017
PROMETHAZINE 50MG/ML VIAL,4,Non-Preferred Drug,48%,48%,P,2017
PROMETHAZINE HCL 25MG TABLET (1000 CT),4,Non-Preferred Drug,48%,48%,P,2017
PROMETHAZINE HCL 50MG TABLET (100 CT),4,Non-Preferred Drug,48%,48%,P,2017
PROMETHAZINE HCL 6.25MG/5ML SYRUP,4,Non-Preferred Drug,48%,48%,P,2017
"PROMETHAZINE HYDROCHLORIDE 25mg/mL 25 VIAL, SINGLE-DOSE in 1 PACKAGE / 1 mL in 1 VIAL, SINGLE-DOSE",4,Non-Preferred Drug,48%,48%,P,2017
PROMETHAZINE HYDROCHLORIDE SUPPOSITORIES 12.5MG 12 BOX,4,Non-Preferred Drug,48%,48%,P,2017
PROMETHAZINE HYDROCHLORIDE SUPPOSITORIES 25MG 12 BOX,4,Non-Preferred Drug,48%,48%,P,2017
PROMETHEGAN 25MG SUPP,4,Non-Preferred Drug,48%,48%,P,2017
PROMETHEGAN 50MG SUPPOS,4,Non-Preferred Drug,48%,48%,P,2017
"Propafenone HCl 150mg/1 100 FILM COATED TABLETS in BOTTLE, PLASTIC",3,Preferred Brand,$47.00 ,$117.50 ,None,2017
PROPAFENONE HCL 225MG TABLET,3,Preferred Brand,$47.00 ,$117.50 ,None,2017
PROPAFENONE HCL 300MG TABLET (100 CT),3,Preferred Brand,$47.00 ,$117.50 ,None,2017
PROPAFENONE HCL ER 225 MG CAP,4,Non-Preferred Drug,48%,48%,None,2017
PROPAFENONE HYDROCHLORIDE 325MG CAPSULES EXTENDED RELEASE,4,Non-Preferred Drug,48%,48%,None,2017
PROPAFENONE HYDROCHLORIDE 425MG CAPSULES EXTENDED RELEASE,4,Non-Preferred Drug,48%,48%,None,2017
PROPARACAINE 0.5% EYE DROPS,2,Generic,$17.00 ,$42.50 ,None,2017
PROPRANOLOL 10 MG TABLET,3,Preferred Brand,$47.00 ,$117.50 ,None,2017
Propranolol 1mg/mL 1 mL in 1 VIAL,4,Non-Preferred Drug,48%,48%,None,2017
PROPRANOLOL 20 MG TABLET,3,Preferred Brand,$47.00 ,$117.50 ,None,2017
PROPRANOLOL 20MG/5ML TUBEX,3,Preferred Brand,$47.00 ,$117.50 ,None,2017
PROPRANOLOL 40 MG TABLET,3,Preferred Brand,$47.00 ,$117.50 ,None,2017
PROPRANOLOL 40MG/5ML TUBEX,3,Preferred Brand,$47.00 ,$117.50 ,None,2017
Propranolol 60 mg tablet,3,Preferred Brand,$47.00 ,$117.50 ,None,2017
PROPRANOLOL 80 MG TABLET,3,Preferred Brand,$47.00 ,$117.50 ,None,2017
PROPRANOLOL ER 120 MG CAPSULE,4,Non-Preferred Drug,48%,48%,None,2017
PROPRANOLOL ER 160 MG CAPSULE,4,Non-Preferred Drug,48%,48%,None,2017
PROPRANOLOL ER 60 MG CAPSULE,4,Non-Preferred Drug,48%,48%,None,2017
PROPRANOLOL ER 80 MG CAPSULE,4,Non-Preferred Drug,48%,48%,None,2017
PROPYLTHIOURACIL 50MG TABLET,3,Preferred Brand,$47.00 ,$117.50 ,None,2017
PROQUAD 0.5 VIAL,3,Preferred Brand,$47.00 ,$117.50 ,None,2017
PROSOL 20% INJECTION,4,Non-Preferred Drug,48%,48%,P,2017
PROTRIPTYLINE HYDROCHLORIDE 10MG TABLETS,4,Non-Preferred Drug,48%,48%,None,2017
PROTRIPTYLINE HYDROCHLORIDE TABLETS 5MG,4,Non-Preferred Drug,48%,48%,None,2017
PULMICORT FLEXHALER 180MCG AEROSOL POWDER BREATH ACTIVATED,3,Preferred Brand,$47.00 ,$117.50 ,Q:2/30Days,2017
PULMICORT FLEXHALER 90MCG AEROSOL POWDER BREATH ACTIVATED,3,Preferred Brand,$47.00 ,$117.50 ,Q:2/30Days,2017
PULMOZYME 1MG/ML AMPUL,5,Specialty Tier,33%,N/A,P,2017
PURIXAN 20 MG/ML ORAL SUSP,5,Specialty Tier,33%,N/A,None,2017
PYRAZINAMIDE 500 MG TABLET,4,Non-Preferred Drug,48%,48%,None,2017
Pyridostigmine br 60 mg tablet,3,Preferred Brand,$47.00 ,$117.50 ,None,2017
QUADRACEL DTAP-IPV VIAL,3,Preferred Brand,$47.00 ,$117.50 ,None,2017
QUASENSE 0.15-0.03 MG TABLET,3,Preferred Brand,$47.00 ,$117.50 ,None,2017
QUETIAPINE FUMARATE 100 MG TABLET [Seroquel],3,Preferred Brand,$47.00 ,$117.50 ,Q:90/30Days,2017
QUETIAPINE FUMARATE 200 MG TABLET [Seroquel],3,Preferred Brand,$47.00 ,$117.50 ,Q:90/30Days,2017
QUETIAPINE FUMARATE 25 MG TABLET [Seroquel],3,Preferred Brand,$47.00 ,$117.50 ,Q:90/30Days,2017
QUETIAPINE FUMARATE 300 MG TABLET [Seroquel],3,Preferred Brand,$47.00 ,$117.50 ,Q:90/30Days,2017
QUETIAPINE FUMARATE 400 MG TABLET [Seroquel],3,Preferred Brand,$47.00 ,$117.50 ,Q:90/30Days,2017
QUETIAPINE FUMARATE 50 MG TABLET [Seroquel],3,Preferred Brand,$47.00 ,$117.50 ,Q:90/30Days,2017
QUINAPRIL 10 MG TABLET,2,Generic,$17.00 ,$42.50 ,None,2017
QUINAPRIL 20 MG TABLET,2,Generic,$17.00 ,$42.50 ,None,2017
QUINAPRIL 40 MG TABLET,2,Generic,$17.00 ,$42.50 ,None,2017
QUINAPRIL 5 MG TABLET,2,Generic,$17.00 ,$42.50 ,None,2017
QUINAPRIL-HCTZ 10-12.5 MG TAB,2,Generic,$17.00 ,$42.50 ,None,2017
QUINAPRIL-HCTZ 20-12.5 MG TAB,2,Generic,$17.00 ,$42.50 ,None,2017
QUINAPRIL-HCTZ 20-25 MG TAB,2,Generic,$17.00 ,$42.50 ,None,2017
"Quinidine Gluconate 324mg/1 100 TABLET, EXTENDED RELEASE in 1 BOTTLE",4,Non-Preferred Drug,48%,48%,None,2017
QUINIDINE SULFATE 200 MG TAB,2,Generic,$17.00 ,$42.50 ,None,2017
QUINIDINE SULFATE 300 MG TAB,2,Generic,$17.00 ,$42.50 ,None,2017
QUININE SULFATE 324 MG CAPSULE [Qualaquin],4,Non-Preferred Drug,48%,48%,P,2017
RABAVERT RABIES VACCINE VIAL,3,Preferred Brand,$47.00 ,$117.50 ,None,2017
Raloxifene HCl 60 mg tablet [Evista],3,Preferred Brand,$47.00 ,$117.50 ,None,2017
RAMIPRIL 1.25MG CAPSULE,2,Generic,$17.00 ,$42.50 ,None,2017
RAMIPRIL 10MG CAPSULE,2,Generic,$17.00 ,$42.50 ,None,2017
RAMIPRIL 2.5MG CAPSULE,2,Generic,$17.00 ,$42.50 ,None,2017
RAMIPRIL 5MG CAPSULE,2,Generic,$17.00 ,$42.50 ,None,2017
"RANEXA ER 1,000 MG TABLET",4,Non-Preferred Drug,48%,48%,None,2017
RANEXA ER 500 MG TABLET,4,Non-Preferred Drug,48%,48%,None,2017
Ranitidine 15 mg/ml syrup,3,Preferred Brand,$47.00 ,$117.50 ,None,2017
Ranitidine 300mg/1 100 FILM COATED TABLETS in BOTTLE,2,Generic,$17.00 ,$42.50 ,None,2017
RANITIDINE HCL 50 MG/2 ML VIAL,4,Non-Preferred Drug,48%,48%,None,2017
Ranitidine Hydrochloride 150mg/1 1000 FILM COATED TABLETS in BOTTLE,2,Generic,$17.00 ,$42.50 ,None,2017
RAPAMUNE 1MG/ML ORAL TUBEX,5,Specialty Tier,33%,N/A,P,2017
Rasagiline Mesylate 0.5 MG TABLET [Azilect],3,Preferred Brand,$47.00 ,$117.50 ,None,2017
Rasagiline Mesylate 1 MG TABLET [Azilect],3,Preferred Brand,$47.00 ,$117.50 ,None,2017
RAVICTI 1.1 GRAM/ML LIQUID,5,Specialty Tier,33%,N/A,P,2017
REBETOL 40MG/ML SOLUTION,5,Specialty Tier,33%,N/A,None,2017
RECLIPSEN 0.15-0.03 TABLET,3,Preferred Brand,$47.00 ,$117.50 ,None,2017
RECOMBIVAX HB 10 MCG/ML SYR,3,Preferred Brand,$47.00 ,$117.50 ,P,2017
RECOMBIVAX HB 40MCG/ML VIAL,3,Preferred Brand,$47.00 ,$117.50 ,P,2017
RECOMBIVAX HB 5 MCG/0.5 ML SYR,3,Preferred Brand,$47.00 ,$117.50 ,P,2017
REGRANEX 0.01% GEL,5,Specialty Tier,33%,N/A,P,2017
RELENZA 5MG DISKHALER,3,Preferred Brand,$47.00 ,$117.50 ,None,2017
RELISTOR 12 MG/0.6 ML SYRINGE,5,Specialty Tier,33%,N/A,P,2017
RELISTOR 12 MG/0.6 ML VIAL,5,Specialty Tier,33%,N/A,P,2017
RELISTOR 8 MG/0.4 ML SYRINGE,5,Specialty Tier,33%,N/A,P,2017
RELPAX 20MG TABLET,3,Preferred Brand,$47.00 ,$117.50 ,None,2017
RELPAX 40MG TABLET 6X2 BLPK,3,Preferred Brand,$47.00 ,$117.50 ,None,2017
REMICADE 100MG VIAL,5,Specialty Tier,33%,N/A,P,2017
REMODULIN 10MG/ML VIAL,5,Specialty Tier,33%,N/A,P,2017
REMODULIN 1MG/ML VIAL,5,Specialty Tier,33%,N/A,P,2017
REMODULIN 2.5MG/ML VIAL,5,Specialty Tier,33%,N/A,P,2017
REMODULIN 5MG/ML VIAL,5,Specialty Tier,33%,N/A,P,2017
RENVELA 800MG TABLET,3,Preferred Brand,$47.00 ,$117.50 ,None,2017
Repaglinide 0.5 MG Tablet [Prandin],2,Generic,$17.00 ,$42.50 ,Q:120/30Days,2017
Repaglinide 1 MG Tablet [Prandin],2,Generic,$17.00 ,$42.50 ,Q:120/30Days,2017
Repaglinide 2 MG Tablet [Prandin],2,Generic,$17.00 ,$42.50 ,Q:240/30Days,2017
RESCRIPTOR 100mg/1 360 TABLET BOTTLE,4,Non-Preferred Drug,48%,48%,None,2017
RESCRIPTOR 200 MG TABLET,4,Non-Preferred Drug,48%,48%,None,2017
RESTASIS CYCLOSPORINE OPTHALMIC EMULSION .05% 30 X 0.4 ML VIALSU,3,Preferred Brand,$47.00 ,$117.50 ,Q:64/30Days,2017
RETROVIR 200 MG/20 ML VIAL,4,Non-Preferred Drug,48%,48%,None,2017
REVATIO 10 MG/ML ORAL SUSP,5,Specialty Tier,33%,N/A,P Q:224/30Days,2017
REVLIMID 10MG CAPSULE (100 CT),5,Specialty Tier,33%,N/A,P,2017
REVLIMID 15MG CAPSULE 21 BOT,5,Specialty Tier,33%,N/A,P,2017
REVLIMID 2.5 MG CAPSULE,5,Specialty Tier,33%,N/A,P,2017
REVLIMID 20 MG CAPSULE,5,Specialty Tier,33%,N/A,P,2017
REVLIMID 25MG CAPSULE (100 CT),5,Specialty Tier,33%,N/A,P,2017
REVLIMID 5MG CAPSULE,5,Specialty Tier,33%,N/A,P,2017
REXULTI 0.25 MG TABLET,4,Non-Preferred Drug,48%,48%,Q:360/30Days,2017
REXULTI 0.5 MG TABLET,4,Non-Preferred Drug,48%,48%,Q:180/30Days,2017
REXULTI 1 MG TABLET,4,Non-Preferred Drug,48%,48%,Q:90/30Days,2017
REXULTI 2 MG TABLET,4,Non-Preferred Drug,48%,48%,Q:60/30Days,2017
REXULTI 3 MG TABLET,4,Non-Preferred Drug,48%,48%,Q:30/30Days,2017
REXULTI 4 MG TABLET,4,Non-Preferred Drug,48%,48%,Q:30/30Days,2017
REYATAZ 150MG CAPSULE,5,Specialty Tier,33%,N/A,None,2017
REYATAZ 200MG CAPSULE,5,Specialty Tier,33%,N/A,None,2017
REYATAZ 300MG CAPSULE,5,Specialty Tier,33%,N/A,None,2017
REYATAZ 50 MG POWDER PACKET,5,Specialty Tier,33%,N/A,None,2017
RIBASPHERE 200 MG CAPSULE,3,Preferred Brand,$47.00 ,$117.50 ,None,2017
RIBASPHERE 200MG TABLET,4,Non-Preferred Drug,48%,48%,None,2017
RIBASPHERE 400MG TABLET,5,Specialty Tier,33%,N/A,None,2017
RIBASPHERE 600MG TABLET,5,Specialty Tier,33%,N/A,None,2017
