name,tier_num,tier_desc,cost_30,cost_90,management,year
GENTAMICIN SULFATE OPHTHALMIC SOLUTION 0.3% 5ML BOT,1,Preferred Generic,$1.00,$0.00,None,2015
GEODON 20MG VIAL,4,Non-Preferred Brand,35%,35%,None,2015
Gianvi 3 BLISTER PACK in 1 PACKAGE / 1 KIT per BLISTER PACK,4,Non-Preferred Brand,35%,35%,None,2015
Gildess 1.5 mg-30 mcg tablet,4,Non-Preferred Brand,35%,35%,None,2015
Gilenya 0.5mg/1 28 CAPSULE per CARTON,5,Specialty Tier,25%,N/A,P Q:30/30Days,2015
GILOTRIF 20 MG TABLET,5,Specialty Tier,25%,N/A,P Q:30/30Days,2015
GILOTRIF 30 MG TABLET,5,Specialty Tier,25%,N/A,P Q:30/30Days,2015
GILOTRIF 40 MG TABLET,5,Specialty Tier,25%,N/A,P Q:30/30Days,2015
"GLASSIA 1g/50mL 1 VIAL, GLASS per CARTON / 50 mL in 1 VIAL, GLASS",5,Specialty Tier,25%,N/A,P,2015
GLEEVEC 100MG TABLET (90 CT),5,Specialty Tier,25%,N/A,P Q:180/30Days,2015
GLEEVEC 400MG TABLET,5,Specialty Tier,25%,N/A,P Q:60/30Days,2015
GLEOSTINE 10 MG CAPSULE,4,Non-Preferred Brand,35%,35%,None,2015
GLEOSTINE 100 MG CAPSULE,4,Non-Preferred Brand,35%,35%,None,2015
GLEOSTINE 40 MG CAPSULE,4,Non-Preferred Brand,35%,35%,None,2015
GLIMEPIRIDE 1MG TABLET (100 CT),1,Preferred Generic,$1.00,$0.00,None,2015
GLIMEPIRIDE 2MG TABLET (100 CT),1,Preferred Generic,$1.00,$0.00,None,2015
GLIMEPIRIDE 4MG TABLET (100 CT),1,Preferred Generic,$1.00,$0.00,None,2015
GLIPIZIDE 10MG TABLET (100 CT),1,Preferred Generic,$1.00,$0.00,None,2015
GLIPIZIDE 10MG TABLETS EXTENDED RELEASE,2,Non-Preferred Generic,$2.00,$0.00,None,2015
GLIPIZIDE 5MG TABLETS EXTENDED RELEASE,2,Non-Preferred Generic,$2.00,$0.00,None,2015
Glipizide 5mg/1 500 TABLET BOTTLE,1,Preferred Generic,$1.00,$0.00,None,2015
"Glipizide and Metformin Hydrochloride 2.5; 250mg/1; mg/1 100 BOTTLE, PLASTIC in 1 BOTTLE, PLASTIC /",3,Preferred Brand,20%,17%,None,2015
GLIPIZIDE ER 2.5MG TABLET SR OSMOTIC PUSH 24HR,2,Non-Preferred Generic,$2.00,$0.00,None,2015
GLIPIZIDE-METFORMIN 2.5-500MG TABLET,3,Preferred Brand,20%,17%,None,2015
GLIPIZIDE-METFORMIN 5-500 MG,3,Preferred Brand,20%,17%,None,2015
GLUCAGEN 1MG HYPOKIT,4,Non-Preferred Brand,35%,35%,None,2015
GLUCAGON 1MG EMERGENCY KIT,3,Preferred Brand,20%,17%,None,2015
GLYBURIDE 1.25MG TABLETS,2,Non-Preferred Generic,$2.00,$0.00,P,2015
GLYBURIDE 2.5MG TABLET (100 CT),1,Preferred Generic,$1.00,$0.00,P,2015
GLYBURIDE 5MG TABLETS,1,Preferred Generic,$1.00,$0.00,P,2015
"Glyburide 6mg/1 500 TABLET BOTTLE, PLASTIC",1,Preferred Generic,$1.00,$0.00,P,2015
GLYBURIDE AND METFORMIN HCL 1.25-250MG TABLET (100 CT),2,Non-Preferred Generic,$2.00,$0.00,P,2015
GLYBURIDE MICRO 3MG TABLET (100 CT),1,Preferred Generic,$1.00,$0.00,P,2015
GLYBURIDE MICRONIZED 1.5MG TABLET (100 CT),2,Non-Preferred Generic,$2.00,$0.00,P,2015
GLYBURIDE-METFORMIN HCL 2.5-500MG TABLET,2,Non-Preferred Generic,$2.00,$0.00,P,2015
GLYBURIDE-METFORMIN HCL 5MG-500MG TABLET,2,Non-Preferred Generic,$2.00,$0.00,P,2015
GLYCOPYRROLATE 0.2MG/ML VL,3,Preferred Brand,20%,17%,None,2015
GLYCOPYRROLATE TABLET 1MG (100 CT),3,Preferred Brand,20%,17%,None,2015
GLYCOPYRROLATE TABLET 2MG (100 CT),3,Preferred Brand,20%,17%,None,2015
GLYSET 100MG TABLET,4,Non-Preferred Brand,35%,35%,None,2015
GLYSET 25MG TABLET,4,Non-Preferred Brand,35%,35%,None,2015
GLYSET 50MG TABLET,4,Non-Preferred Brand,35%,35%,None,2015
GOLYTELY PACKET 227.1 GM/2.82 GM,3,Preferred Brand,20%,17%,None,2015
GOLYTELY SOLUTION 236 GM/2.97 GM/6 GM,3,Preferred Brand,20%,17%,None,2015
Granisetron HCl 0.1 mg/ml vial,4,Non-Preferred Brand,35%,35%,None,2015
Granisetron Hydrochloride 1mg/1 2 TABLET BOTTLE,4,Non-Preferred Brand,35%,35%,P Q:28/28Days,2015
"Granisetron Hydrochloride 1mg/mL 10 VIAL, SINGLE-USE in 1 PACKAGE / 1 mL in 1 VIAL, SINGLE-USE",4,Non-Preferred Brand,35%,35%,Q:4/28Days,2015
GRANIX 300 MCG/0.5 ML SYRINGE,5,Specialty Tier,25%,N/A,P Q:14/28Days,2015
GRANIX 480 MCG/0.8 ML SYRINGE,5,Specialty Tier,25%,N/A,P Q:14/28Days,2015
GRIS-PEG 125MG TABLET,4,Non-Preferred Brand,35%,35%,None,2015
GRIS-PEG 250 MG TABLET,4,Non-Preferred Brand,35%,35%,None,2015
griseofulvin ultra 125 mg tab,4,Non-Preferred Brand,35%,35%,None,2015
griseofulvin ultra 250 mg tab,4,Non-Preferred Brand,35%,35%,None,2015
GUANFACINE 1MG TABLET,2,Non-Preferred Generic,$2.00,$0.00,P,2015
GUANFACINE 2MG TABLET (100 CT),2,Non-Preferred Generic,$2.00,$0.00,P,2015
guanidine hcl 125 mg tablet,3,Preferred Brand,20%,17%,None,2015
Halaven 0.5mg/mL,5,Specialty Tier,25%,N/A,P,2015
HALDOL 5MG/ML INJECTION,4,Non-Preferred Brand,35%,35%,None,2015
Halobetasol Propionate 0.5mg/g 1 TUBE per CARTON / 50 g in 1 TUBE,4,Non-Preferred Brand,35%,35%,None,2015
halobetasol propionate 0.5mg/g 50 g in 1 TUBE,4,Non-Preferred Brand,35%,35%,None,2015
Halog 1mg/g 60 g in 1 TUBE,4,Non-Preferred Brand,35%,35%,None,2015
HALOG OINTMENT 1mg/g 60 g in 1 TUBE [HALOG],4,Non-Preferred Brand,35%,35%,None,2015
HALOPERIDOL 0.5MG TABLET,1,Preferred Generic,$1.00,$0.00,None,2015
"Haloperidol 10mg/1 100 TABLET BOTTLE, PLASTIC",2,Non-Preferred Generic,$2.00,$0.00,None,2015
HALOPERIDOL 1MG TABLET,1,Preferred Generic,$1.00,$0.00,None,2015
HALOPERIDOL 20MG TABLET (100 CT),2,Non-Preferred Generic,$2.00,$0.00,None,2015
HALOPERIDOL 2MG TABLET (100 CT),1,Preferred Generic,$1.00,$0.00,None,2015
HALOPERIDOL 5MG TABLET,1,Preferred Generic,$1.00,$0.00,None,2015
HALOPERIDOL DEC 100MG/ML VL,4,Non-Preferred Brand,35%,35%,None,2015
HALOPERIDOL DEC 50MG 10 X 1ML PKG,4,Non-Preferred Brand,35%,35%,None,2015
HALOPERIDOL LAC 2MG/ML CONC,2,Non-Preferred Generic,$2.00,$0.00,None,2015
HALOPERIDOL LAC 5MG/ML VIAL,2,Non-Preferred Generic,$2.00,$0.00,None,2015
HARVONI 90-400 MG TABLET,5,Specialty Tier,25%,N/A,P Q:28/28Days,2015
HAVRIX HEPATITIS A VACCINE INACTIVATED INJECTION SOLUTION 1440UNITS 10 X 1ML VIALSD,4,Non-Preferred Brand,35%,35%,None,2015
HAVRIX HEPATITIS A VACCINE INJECTION,4,Non-Preferred Brand,35%,35%,None,2015
Heparin Sodium in Dextrose 5; 4000g/100mL; [USP'U]/100mL 24 CONTAINER in 1 CASE / 500 mL in 1 CONTA,2,Non-Preferred Generic,$2.00,$0.00,None,2015
HEPARIN SODIUM INJECTION,3,Preferred Brand,20%,17%,None,2015
HEPARIN SODIUM INJECTION,3,Preferred Brand,20%,17%,None,2015
HEPARIN SODIUM INJECTION,3,Preferred Brand,20%,17%,None,2015
HEPARIN SODIUM INJECTION,3,Preferred Brand,20%,17%,None,2015
HEPATAMINE INJECTION 8%,4,Non-Preferred Brand,35%,35%,P,2015
HEPATITIS B VACCINE RECOMBIANT ADULT FORMULATION INJECTION 10MCG 1ML VIALSD,4,Non-Preferred Brand,35%,35%,P,2015
HERCEPTIN 440MG VIAL,5,Specialty Tier,25%,N/A,P,2015
HEXALEN 50MG CAPSULES,5,Specialty Tier,25%,N/A,None,2015
HUMALOG 100 UNITS/ML CARTRIDGE,3,Preferred Brand,20%,17%,None,2015
HUMALOG 100 UNITS/ML KWIKPEN,3,Preferred Brand,20%,17%,None,2015
Humalog 100[iU]/mL 1 VIAL in 1 CARTON / 3 mL in 1 VIAL,3,Preferred Brand,20%,17%,None,2015
HUMALOG 200 UNITS/ML KWIKPEN,3,Preferred Brand,20%,17%,None,2015
HUMALOG KWIKPEN INJECTION,3,Preferred Brand,20%,17%,None,2015
HUMALOG MIX 50/50 VIAL,3,Preferred Brand,20%,17%,None,2015
HUMALOG MIX 75/25 VIAL,3,Preferred Brand,20%,17%,None,2015
HUMALOG MIX KWIKPEN INJECTION,3,Preferred Brand,20%,17%,None,2015
HUMALOG MIX KWIKPEN INJECTION SUSPENSION,3,Preferred Brand,20%,17%,None,2015
HUMIRA 10 MG/0.2 ML SYRINGE,5,Specialty Tier,25%,N/A,P,2015
Humira 2 KIT per CARTON / 1 KIT in 1 KIT,5,Specialty Tier,25%,N/A,P Q:6/28Days,2015
HUMIRA PEN KIT 40MG-70% 1 PKGCOM,5,Specialty Tier,25%,N/A,P Q:6/28Days,2015
HUMULIN 70/30 KWIKPEN,3,Preferred Brand,20%,17%,None,2015
HUMULIN 70/30 VIAL,3,Preferred Brand,20%,17%,None,2015
HUMULIN N 100 UNITS/ML KWIKPEN,3,Preferred Brand,20%,17%,None,2015
HUMULIN N 100U/ML VIAL,3,Preferred Brand,20%,17%,None,2015
HUMULIN R 100U/ML VIAL,3,Preferred Brand,20%,17%,None,2015
HUMULIN R 500U/ML VIAL,3,Preferred Brand,20%,17%,None,2015
HYCAMTIN POWDER FOR INJECTION SOLUTION 4MG 1 VIAL,5,Specialty Tier,25%,N/A,None,2015
HYDRALAZINE 100MG TABLET,2,Non-Preferred Generic,$2.00,$0.00,None,2015
HYDRALAZINE 10MG TABLET,1,Preferred Generic,$1.00,$0.00,None,2015
HYDRALAZINE 20 MG/ML VIAL,3,Preferred Brand,20%,17%,None,2015
HYDRALAZINE 25MG TABLET,1,Preferred Generic,$1.00,$0.00,None,2015
HYDRALAZINE 50MG TABLET,2,Non-Preferred Generic,$2.00,$0.00,None,2015
HYDROCHLOROTHIAZIDE 12.5MG CAPSULE (100 CT),1,Preferred Generic,$1.00,$0.00,None,2015
HYDROCHLOROTHIAZIDE 12.5MG TABLET,2,Non-Preferred Generic,$2.00,$0.00,None,2015
Hydrochlorothiazide 50mg/1 1000 TABLET BOTTLE,1,Preferred Generic,$1.00,$0.00,None,2015
HYDROCHLOROTHIAZIDE TABLETS 25MG,1,Preferred Generic,$1.00,$0.00,None,2015
Hydrocodone Acetaminophen 2.5-325,3,Preferred Brand,20%,17%,Q:360/30Days,2015
Hydrocodone Acetaminophen 325; 10mg/1; mg/1 500 TABLET BOTTLE,3,Preferred Brand,20%,17%,Q:360/30Days,2015
HYDROCODONE BITARTRATE AND IBUPROFEN TABLET 7.5-200MG (100 CT),3,Preferred Brand,20%,17%,Q:150/30Days,2015
HYDROCODONE-ACETAMINOPHEN 5MG-325MG TABLET,3,Preferred Brand,20%,17%,Q:360/30Days,2015
HYDROCODONE-ACETAMINOPHEN 7.5-325MG TABLET,3,Preferred Brand,20%,17%,Q:360/30Days,2015
HYDROCORTISONE 0.1% SOLN,3,Preferred Brand,20%,17%,None,2015
HYDROCORTISONE 0.2% CREAM,3,Preferred Brand,20%,17%,None,2015
HYDROCORTISONE 0.2% OINTMENT,3,Preferred Brand,20%,17%,None,2015
"Hydrocortisone 100mg/60mL 7 BOTTLE, WITH APPLICATOR in 1 BOX / 60 mL in 1 BOTTLE, WITH APPLICATOR",3,Preferred Brand,20%,17%,None,2015
HYDROCORTISONE 10MG TABLET,2,Non-Preferred Generic,$2.00,$0.00,None,2015
Hydrocortisone 20mg 100 TABLET BOTTLE,2,Non-Preferred Generic,$2.00,$0.00,None,2015
Hydrocortisone 25mg/g 1 TUBE in 1 TUBE / 30 g in 1 TUBE,1,Preferred Generic,$1.00,$0.00,None,2015
HYDROCORTISONE 5MG TABLET,2,Non-Preferred Generic,$2.00,$0.00,None,2015
Hydrocortisone and Acetic Acid 2.41; 3.15g/100mL; g/100mL 1 BOTTLE per CARTON / 10 mL in 1 BOTTLE,4,Non-Preferred Brand,35%,35%,None,2015
HYDROCORTISONE BUTYR 0.1% OINT,3,Preferred Brand,20%,17%,None,2015
HYDROCORTISONE CREAM 1% 1 LB JAR,1,Preferred Generic,$1.00,$0.00,None,2015
HYDROCORTISONE LOTION 2.5% 2 OZ BOT,2,Non-Preferred Generic,$2.00,$0.00,None,2015
HYDROCORTISONE OINTMENT 1% 1 LB JAR,2,Non-Preferred Generic,$2.00,$0.00,None,2015
HYDROCORTISONE OINTMENT USP 2.5% 20GM TUBE BOX,2,Non-Preferred Generic,$2.00,$0.00,None,2015
HYDROMORPHONE HCL 8MG TABLET (100 CT),3,Preferred Brand,20%,17%,Q:240/30Days,2015
Hydromorphone Hydrochloride 10mg/mL 1 VIAL per CARTON / 50 mL in 1 VIAL,4,Non-Preferred Brand,35%,35%,Q:144/30Days,2015
HYDROMORPHONE HYDROCHLORIDE 2MG TABLETS,3,Preferred Brand,20%,17%,Q:360/30Days,2015
HYDROMORPHONE HYDROCHLORIDE 4MG TABLETS,3,Preferred Brand,20%,17%,Q:360/30Days,2015
HYDROXYCHLOROQUINE 200MG TABLET (500 CT),2,Non-Preferred Generic,$2.00,$0.00,None,2015
Hydroxyurea 500 mg capsule,2,Non-Preferred Generic,$2.00,$0.00,None,2015
IBRANCE 100 MG CAPSULE,5,Specialty Tier,25%,N/A,P Q:21/28Days,2015
IBRANCE 125 MG CAPSULE,5,Specialty Tier,25%,N/A,P Q:21/28Days,2015
IBRANCE 75 MG CAPSULE,5,Specialty Tier,25%,N/A,P Q:21/28Days,2015
Ibuprofen 100mg/5mL 473 mL in 1 BOTTLE,2,Non-Preferred Generic,$2.00,$0.00,None,2015
IBUPROFEN 400MG TABLETS,1,Preferred Generic,$1.00,$0.00,None,2015
IBUPROFEN 600mg/1 500 TABLET BOTTLE,1,Preferred Generic,$1.00,$0.00,None,2015
Ibuprofen 800mg/1 100 TABLET BOTTLE,1,Preferred Generic,$1.00,$0.00,None,2015
IDAMYCIN PFS 1MG/ML VIAL,5,Specialty Tier,25%,N/A,None,2015
IDARUBICIN HCL 1MG/ML VIAL,5,Specialty Tier,25%,N/A,None,2015
IFOSFAMIDE FOR INFECTION 1 GM,3,Preferred Brand,20%,17%,None,2015
ILEVRO 0.3% OPHTH DROPS,3,Preferred Brand,20%,17%,None,2015
ILOTYCIN 0.5% EYE OINTMENT,3,Preferred Brand,20%,17%,None,2015
IMBRUVICA 140 MG CAPSULE,5,Specialty Tier,25%,N/A,P Q:120/30Days,2015
IMIPENEM-CILASTATIN 250 MG VL,3,Preferred Brand,20%,17%,None,2015
IMIPENEM-CILASTATIN 500 MG VL,3,Preferred Brand,20%,17%,None,2015
IMIPRAMINE HCL 10MG TABLET (100 CT),2,Non-Preferred Generic,$2.00,$0.00,P,2015
IMIPRAMINE HCL 25MG TABLET (100 CT),2,Non-Preferred Generic,$2.00,$0.00,P,2015
IMIPRAMINE HCL 50MG TABLET (100 CT),2,Non-Preferred Generic,$2.00,$0.00,P,2015
IMIPRAMINE PAMOATE 100MG CAPSULES,4,Non-Preferred Brand,35%,35%,P,2015
IMIPRAMINE PAMOATE 125MG CAPSULES,4,Non-Preferred Brand,35%,35%,P,2015
IMIPRAMINE PAMOATE 150MG CAPSULES,4,Non-Preferred Brand,35%,35%,P,2015
IMIPRAMINE PAMOATE 75MG CAPSULES,4,Non-Preferred Brand,35%,35%,P,2015
IMIQUIMOD 5% CREAM,4,Non-Preferred Brand,35%,35%,Q:12/30Days,2015
IMOVAX RABIES VACCINE,4,Non-Preferred Brand,35%,35%,P,2015
IMURAN 50MG TABLET,4,Non-Preferred Brand,35%,35%,P,2015
"Increlex 40mg/4mL 1 VIAL, MULTI-DOSE per CARTON / 4 mL in 1 VIAL, MULTI-DOSE",5,Specialty Tier,25%,N/A,P,2015
"Indapamide 1.25mg/1 100 FILM COATED TABLETS in BOTTLE, PLASTIC",1,Preferred Generic,$1.00,$0.00,None,2015
INDAPAMIDE 2.5MG TABLET USP (1000 CT),1,Preferred Generic,$1.00,$0.00,None,2015
INLYTA 1 MG TABLET,5,Specialty Tier,25%,N/A,P Q:180/30Days,2015
INLYTA 5 MG TABLET,5,Specialty Tier,25%,N/A,P Q:60/30Days,2015
INTELENCE 100MG TABLET,5,Specialty Tier,25%,N/A,Q:120/30Days,2015
Intelence 200mg/1,5,Specialty Tier,25%,N/A,Q:60/30Days,2015
INTELENCE 25 MG TABLET,4,Non-Preferred Brand,35%,35%,Q:120/30Days,2015
INTRALIPID 20% IV FAT EMUL,4,Non-Preferred Brand,35%,35%,P,2015
INTRALIPID PHARMACY BULK PACKAGE FAT EMULSION 1.7-1.2-30GM 500ML BAG,4,Non-Preferred Brand,35%,35%,P,2015
INTRON A 10MMU VIAL,5,Specialty Tier,25%,N/A,P,2015
INTRON A 18 MILLION UNITS VIAL,5,Specialty Tier,25%,N/A,P,2015
INTRON A 50 MILLION UNITS VIAL,5,Specialty Tier,25%,N/A,P,2015
INTRON A 6MMU/ML VIAL,5,Specialty Tier,25%,N/A,P,2015
Introvale 3 CARTON in 1 BOX / 1 KIT per CARTON,4,Non-Preferred Brand,35%,35%,Q:91/90Days,2015
INVANZ 1GM VIAL,4,Non-Preferred Brand,35%,35%,None,2015
INVEGA 3MG TABLET SR OSMOTIC PUSH 24HR,4,Non-Preferred Brand,35%,35%,S Q:30/30Days,2015
INVEGA 6MG TABLET SR OSMOTIC PUSH 24HR,4,Non-Preferred Brand,35%,35%,S Q:60/30Days,2015
INVEGA 9MG TABLET SR OSMOTIC PUSH 24HR,4,Non-Preferred Brand,35%,35%,S Q:30/30Days,2015
INVEGA ER 1.5mg/ 30 TABLET BOTTLE,4,Non-Preferred Brand,35%,35%,S Q:30/30Days,2015
Invega Sustenna 117 mg/0.75mL Prefilled Syringe,5,Specialty Tier,25%,N/A,Q:2/30Days,2015
Invega Sustenna 156 mg/mL Prefilled Syringe,5,Specialty Tier,25%,N/A,Q:2/30Days,2015
Invega Sustenna 234 mg/1.5mL Prefilled Syringe,5,Specialty Tier,25%,N/A,Q:2/30Days,2015
Invega Sustenna 39 mg/0.25mL Prefilled Syringe,4,Non-Preferred Brand,35%,35%,Q:2/30Days,2015
Invega Sustenna 78 mg/0.5mL Prefilled Syringe,4,Non-Preferred Brand,35%,35%,Q:2/30Days,2015
INVIRASE 200MG CAPSULE,5,Specialty Tier,25%,N/A,Q:300/30Days,2015
INVIRASE 500MG TABLET,5,Specialty Tier,25%,N/A,Q:120/30Days,2015
"INVOKAMET 150-1,000 MG TABLET",3,Preferred Brand,20%,17%,Q:60/30Days,2015
INVOKAMET 150-500 MG TABLET,3,Preferred Brand,20%,17%,Q:60/30Days,2015
"INVOKAMET 50-1,000 MG TABLET",3,Preferred Brand,20%,17%,Q:60/30Days,2015
INVOKAMET 50-500 MG TABLET,3,Preferred Brand,20%,17%,Q:60/30Days,2015
INVOKANA 100 MG TABLET,3,Preferred Brand,20%,17%,Q:30/30Days,2015
INVOKANA 300 MG TABLET,3,Preferred Brand,20%,17%,Q:30/30Days,2015
IONOSOL B-D5W IV SOLUTION,4,Non-Preferred Brand,35%,35%,None,2015
IONOSOL MB-D5W IV SOLUTION,4,Non-Preferred Brand,35%,35%,None,2015
IPOL SINGLE DOSE SYRINGE,4,Non-Preferred Brand,35%,35%,None,2015
IPOL VIAL 40;8;32; UNT,4,Non-Preferred Brand,35%,35%,None,2015
IPRATROPIUM BROMIDE 0.5mg/2.5mL 1 POUCH per CARTON / 30 VIAL in 1 POUCH / 2.5 mL in 1 VIAL,1,Preferred Generic,$1.00,$0.00,P,2015
"IPRATROPIUM BROMIDE 42ug/1 1 BOTTLE, SPRAY per CARTON / 165 SPRAY, METERED in 1 BOTTLE, SPRAY",2,Non-Preferred Generic,$2.00,$0.00,Q:45/30Days,2015
"IPRATROPIUM BROMIDE and ALBUTEROL SULFATE 2.5; 0.5mg/3mL; mg/3mL 6 POUCH per CARTON / 5 VIAL, PLAS",2,Non-Preferred Generic,$2.00,$0.00,P,2015
IPRATROPIUM BROMIDE NASAL SPRAY,2,Non-Preferred Generic,$2.00,$0.00,Q:30/30Days,2015
IRBESARTAN 150 MG TABLET [Avapro],2,Non-Preferred Generic,$2.00,$0.00,Q:30/30Days,2015
IRBESARTAN 300 MG TABLET [Avapro],2,Non-Preferred Generic,$2.00,$0.00,Q:30/30Days,2015
IRBESARTAN 75 MG TABLET [Avapro],2,Non-Preferred Generic,$2.00,$0.00,Q:30/30Days,2015
IRBESARTAN-HCTZ 150-12.5 MG TABLET [Avalide],2,Non-Preferred Generic,$2.00,$0.00,Q:30/30Days,2015
IRBESARTAN-HCTZ 300-12.5 MG TABLET [Avalide],2,Non-Preferred Generic,$2.00,$0.00,Q:30/30Days,2015
IRENKA DR 40 MG CAPSULE,4,Non-Preferred Brand,35%,35%,Q:60/30Days,2015
irinotecan hcl 100 mg/5 ml vl,4,Non-Preferred Brand,35%,35%,None,2015
ISENTRESS 100 MG POWDER PACKET,4,Non-Preferred Brand,35%,35%,Q:120/30Days,2015
ISENTRESS 100 MG TABLET CHEW,3,Preferred Brand,20%,17%,Q:180/30Days,2015
ISENTRESS 25 MG TABLET CHEW,4,Non-Preferred Brand,35%,35%,Q:180/30Days,2015
ISENTRESS 400MG TABLET,5,Specialty Tier,25%,N/A,Q:120/30Days,2015
ISOLYTE P IN 5% DEXTROSE INJECTION,4,Non-Preferred Brand,35%,35%,None,2015
ISOLYTE S IV SOLUTION-EXCEL,4,Non-Preferred Brand,35%,35%,None,2015
ISONIAZID 100 MG TABLET,2,Non-Preferred Generic,$2.00,$0.00,None,2015
ISONIAZID 300 MG TABLET,1,Preferred Generic,$1.00,$0.00,None,2015
ISONIAZID 50MG/5ML SYRUP,2,Non-Preferred Generic,$2.00,$0.00,None,2015
ISONIAZID INJ 100MG/ML,2,Non-Preferred Generic,$2.00,$0.00,None,2015
ISOPTO CARPINE 10mg/mL 15 mL in 1 BOTTLE,4,Non-Preferred Brand,35%,35%,None,2015
ISOPTO CARPINE 20mg/mL 15 mL in 1 BOTTLE,4,Non-Preferred Brand,35%,35%,None,2015
ISOPTO CARPINE 40mg/mL 15 mL in 1 BOTTLE,4,Non-Preferred Brand,35%,35%,None,2015
ISORDIL 40 MG TABLET,4,Non-Preferred Brand,35%,35%,None,2015
ISOSORBIDE DINITRATE 40MG TABLETS EXTENDED RELEASE,3,Preferred Brand,20%,17%,None,2015
ISOSORBIDE DN 10 MG TABLET,2,Non-Preferred Generic,$2.00,$0.00,None,2015
ISOSORBIDE DN 20MG TABLET,2,Non-Preferred Generic,$2.00,$0.00,None,2015
ISOSORBIDE DN 30MG TABLET,2,Non-Preferred Generic,$2.00,$0.00,None,2015
ISOSORBIDE DN 5 MG TABLET,2,Non-Preferred Generic,$2.00,$0.00,None,2015
ISOSORBIDE MN 10 MG TABLET,2,Non-Preferred Generic,$2.00,$0.00,None,2015
ISOSORBIDE MONONITRATE 20MG TABLET,2,Non-Preferred Generic,$2.00,$0.00,None,2015
ISOSORBIDE MONONITRATE ER TABLET 120MG (100 CT),2,Non-Preferred Generic,$2.00,$0.00,None,2015
ISOSORBIDE MONONITRATE ER TABLET 30MG (100 CT),1,Preferred Generic,$1.00,$0.00,None,2015
ISOSORBIDE MONONITRATE TABLETS EXTENDED RELEASE 60MG 100 TABLETS BOT,1,Preferred Generic,$1.00,$0.00,None,2015
ISOTON GENTAMICIN 80MG/100ML,3,Preferred Brand,20%,17%,None,2015
ISRADIPINE CAPSULES 2.5MG (100 CT),4,Non-Preferred Brand,35%,35%,None,2015
ISRADIPINE CAPSULES 5MG (100 CT),4,Non-Preferred Brand,35%,35%,None,2015
ISTODAX KIT 10MG/VIAL,5,Specialty Tier,25%,N/A,P,2015
ITRACONAZOLE 100MG CAPSULE,4,Non-Preferred Brand,35%,35%,Q:120/30Days,2015
"IVERMECTIN 3 MG TABLET [Stromectol, Sklice]",3,Preferred Brand,20%,17%,None,2015
IXEMPRA 45 MG KIT,5,Specialty Tier,25%,N/A,P,2015
IXIARO JAPANESE ENCEPHALITIS VACCINE 6MCG/.5ML,4,Non-Preferred Brand,35%,35%,None,2015
JAKAFI 10 MG TABLET,5,Specialty Tier,25%,N/A,P Q:60/30Days,2015
JAKAFI 15 MG TABLET,5,Specialty Tier,25%,N/A,P Q:60/30Days,2015
JAKAFI 20 MG TABLET,5,Specialty Tier,25%,N/A,P Q:60/30Days,2015
JAKAFI 25 MG TABLET,5,Specialty Tier,25%,N/A,P Q:60/30Days,2015
JAKAFI 5 MG TABLET,5,Specialty Tier,25%,N/A,P Q:60/30Days,2015
JALYN 0.5MG/0.4MG CAPSULES,3,Preferred Brand,20%,17%,Q:30/30Days,2015
JANTOVEN 1MG TABLET,2,Non-Preferred Generic,$2.00,$0.00,None,2015
JANTOVEN 2.5MG TABLET,2,Non-Preferred Generic,$2.00,$0.00,None,2015
JANTOVEN 3MG TABLET,2,Non-Preferred Generic,$2.00,$0.00,None,2015
JANTOVEN 4MG TABLET,2,Non-Preferred Generic,$2.00,$0.00,None,2015
JANTOVEN 6MG TABLET,2,Non-Preferred Generic,$2.00,$0.00,None,2015
JANTOVEN 7.5MG TABLET,2,Non-Preferred Generic,$2.00,$0.00,None,2015
JANTOVEN WARFARIN SODIUM 10MG TABLET (500 CT),2,Non-Preferred Generic,$2.00,$0.00,None,2015
JANTOVEN WARFARIN SODIUM 5MG TABLET (100 CT),2,Non-Preferred Generic,$2.00,$0.00,None,2015
JANTOVEN WARFARIN SODIUM TABLET 2MG (1000 CT),2,Non-Preferred Generic,$2.00,$0.00,None,2015
JANUMET 50-1000MG TABLET,3,Preferred Brand,20%,17%,Q:60/30Days,2015
JANUMET 50MG-500MG TABLET,3,Preferred Brand,20%,17%,Q:60/30Days,2015
"JANUMET XR 100-1,000 MG TABLET",3,Preferred Brand,20%,17%,Q:30/30Days,2015
"JANUMET XR 50-1,000 MG TABLET",3,Preferred Brand,20%,17%,Q:60/30Days,2015
JANUMET XR 50-500 MG TABLET,3,Preferred Brand,20%,17%,Q:60/30Days,2015
JANUVIA 25MG TABLET,3,Preferred Brand,20%,17%,Q:30/30Days,2015
JANUVIA 50MG TABLET,3,Preferred Brand,20%,17%,Q:30/30Days,2015
JANUVIA TABLET 100MG (30 CT),3,Preferred Brand,20%,17%,Q:30/30Days,2015
JARDIANCE 10 MG TABLET,3,Preferred Brand,20%,17%,Q:30/30Days,2015
JARDIANCE 25 MG TABLET,3,Preferred Brand,20%,17%,Q:30/30Days,2015
JENTADUETO 2.5 MG-1000 MG TAB,3,Preferred Brand,20%,17%,Q:60/30Days,2015
JENTADUETO 2.5 MG-500 MG TAB,3,Preferred Brand,20%,17%,Q:60/30Days,2015
JENTADUETO 2.5 MG-850 MG TAB,3,Preferred Brand,20%,17%,Q:60/30Days,2015
JEVTANA KIT 60MG/1.5ML,5,Specialty Tier,25%,N/A,P,2015
